real,imag,np,sw,time
0.233165998,0.581303352,4096.0,10000.0,1010.2466422466423
0.0534040394,2.19646376,4096.0,10000.0,1011.2468864468865
-2.09417171,2.43220466,4096.0,10000.0,1012.2471306471308
-3.13341419,0.5486449,4096.0,10000.0,1013.247374847375
-2.40296968,-0.686080808,4096.0,10000.0,1014.2476190476192
-2.0983681,-1.00303924,4096.0,10000.0,1015.2478632478633
-1.75050051,-2.03115473,4096.0,10000.0,1016.2481074481075
-0.0605941789,-2.39765514,4096.0,10000.0,1017.2483516483517
0.809753799,-0.854343308,4096.0,10000.0,1018.248595848596
-0.478985339,-0.0307126443,4096.0,10000.0,1019.2488400488402
-1.20077962,-1.30527656,4096.0,10000.0,1020.2490842490844
-0.139324949,-2.15890305,4096.0,10000.0,1021.2493284493285
0.566525936,-1.81890145,4096.0,10000.0,1022.2495726495727
0.870691199,-2.04340958,4096.0,10000.0,1023.249816849817
2.32710955,-1.9853845,4096.0,10000.0,1024.250061050061
3.26322537,-0.039607982,4096.0,10000.0,1025.2503052503055
1.87023111,1.60376213,4096.0,10000.0,1026.2505494505497
0.457221379,1.01621178,4096.0,10000.0,1027.2507936507939
0.782360185,0.336254645,4096.0,10000.0,1028.2510378510378
0.958842411,0.812314701,4096.0,10000.0,1029.251282051282
0.48877794,0.721107975,4096.0,10000.0,1030.2515262515262
1.09485251,0.396327701,4096.0,10000.0,1031.2517704517707
1.69493375,1.71895421,4096.0,10000.0,1032.2520146520149
0.168248251,3.09145437,4096.0,10000.0,1033.252258852259
-1.69323407,2.23148436,4096.0,10000.0,1034.252503052503
-1.71388601,0.85306891,4096.0,10000.0,1035.2527472527472
-1.44640924,0.661101644,4096.0,10000.0,1036.2529914529914
-1.84689004,0.135944616,4096.0,10000.0,1037.2532356532358
-1.21240284,-0.868328929,4096.0,10000.0,1038.25347985348
-0.0640782508,-0.323377945,4096.0,10000.0,1039.2537240537242
-0.743061917,0.820420117,4096.0,10000.0,1040.2539682539684
-2.09929071,0.0629162746,4096.0,10000.0,1041.2542124542124
-1.72381021,-1.4082295,4096.0,10000.0,1042.2544566544568
-0.792726725,-1.57042907,4096.0,10000.0,1043.254700854701
-0.689617181,-1.68207013,4096.0,10000.0,1044.2549450549452
0.119855182,-2.39156954,4096.0,10000.0,1045.2551892551894
1.66212415,-1.72911074,4096.0,10000.0,1046.2554334554336
1.54241987,-0.0450388234,4096.0,10000.0,1047.2556776556778
0.267112593,0.0450829807,4096.0,10000.0,1048.255921855922
0.373678127,-0.882740841,4096.0,10000.0,1049.2561660561662
1.16817572,-0.63828601,4096.0,10000.0,1050.2564102564104
0.979506474,-0.154365322,4096.0,10000.0,1051.2566544566546
1.1150062,-0.526519892,4096.0,10000.0,1052.2568986568988
2.15980765,0.0257186897,4096.0,10000.0,1053.257142857143
1.86757287,1.74339299,4096.0,10000.0,1054.2573870573872
0.158437367,2.07993459,4096.0,10000.0,1055.2576312576314
-0.410285275,1.03620512,4096.0,10000.0,1056.2578754578756
0.00127547963,0.893215512,4096.0,10000.0,1057.2581196581198
-0.451440875,1.15509471,4096.0,10000.0,1058.258363858364
-0.784151615,0.418270775,4096.0,10000.0,1059.2586080586082
0.0554316886,0.202788477,4096.0,10000.0,1060.2588522588524
0.0775358945,1.31897961,4096.0,10000.0,1061.2590964590966
-1.37091383,1.46310705,4096.0,10000.0,1062.2593406593408
-1.89225775,0.11280196,4096.0,10000.0,1063.259584859585
-1.16163431,-0.475355358,4096.0,10000.0,1064.2598290598291
-1.12998625,-0.330434124,4096.0,10000.0,1065.2600732600733
-1.24660682,-1.07143825,4096.0,10000.0,1066.2603174603175
-0.13176336,-1.55697806,4096.0,10000.0,1067.2605616605617
0.56244241,-0.533779565,4096.0,10000.0,1068.260805860806
-0.331000031,0.0189250794,4096.0,10000.0,1069.2610500610501
-0.706779697,-0.926828572,4096.0,10000.0,1070.2612942612943
0.213423407,-1.30160954,4096.0,10000.0,1071.2615384615385
0.500344127,-0.707079998,4096.0,10000.0,1072.2617826617827
0.256136347,-0.897435463,4096.0,10000.0,1073.262026862027
1.0991581,-1.2039383,4096.0,10000.0,1074.262271062271
1.83376857,-0.0672243428,4096.0,10000.0,1075.2625152625153
0.923711858,0.941207963,4096.0,10000.0,1076.2627594627595
0.12118269,0.373034309,4096.0,10000.0,1077.2630036630037
0.637618132,0.0138126647,4096.0,10000.0,1078.263247863248
0.711714854,0.680846669,4096.0,10000.0,1079.263492063492
0.020140896,0.630592329,4096.0,10000.0,1080.2637362637365
0.312836992,0.0592461366,4096.0,10000.0,1081.2639804639805
0.912638782,0.737814179,4096.0,10000.0,1082.2642246642247
0.0388700913,1.60251864,4096.0,10000.0,1083.2644688644689
-0.991015127,0.925371291,4096.0,10000.0,1084.264713064713
-0.628760191,0.153084333,4096.0,10000.0,1085.2649572649575
-0.389678608,0.49541575,4096.0,10000.0,1086.2652014652017
-1.02519066,0.35404083,4096.0,10000.0,1087.2654456654457
-0.812954161,-0.534101935,4096.0,10000.0,1088.2656898656899
0.0720543316,-0.317704047,4096.0,10000.0,1089.265934065934
-0.295618474,0.472755347,4096.0,10000.0,1090.2661782661783
-1.10731551,-0.0651607109,4096.0,10000.0,1091.2664224664227
-0.599583077,-0.905645206,4096.0,10000.0,1092.2666666666669
0.0233059369,-0.545324278,4096.0,10000.0,1093.266910866911
-0.376420147,-0.361310833,4096.0,10000.0,1094.267155067155
-0.227940052,-1.07088384,4096.0,10000.0,1095.2673992673992
0.782188293,-0.900845,4096.0,10000.0,1096.2676434676434
0.725441712,0.123782589,4096.0,10000.0,1097.2678876678879
-0.0969703617,0.0273092313,4096.0,10000.0,1098.268131868132
0.206372931,-0.637924072,4096.0,10000.0,1099.2683760683763
0.826772026,-0.17646733,4096.0,10000.0,1100.2686202686202
0.340791614,0.337264882,4096.0,10000.0,1101.2688644688644
0.0868428433,-0.203641185,4096.0,10000.0,1102.2691086691088
0.840777222,-0.213799194,4096.0,10000.0,1103.269352869353
0.813037542,0.767606134,4096.0,10000.0,1104.2695970695972
-0.17338684,0.829402514,4096.0,10000.0,1105.2698412698414
-0.201713435,0.0622755475,4096.0,10000.0,1106.2700854700856
0.353864968,0.273317733,4096.0,10000.0,1107.2703296703296
-0.12487353,0.774040333,4096.0,10000.0,1108.270573870574
-0.623537779,0.17191079,4096.0,10000.0,1109.2708180708182
0.00968383472,-0.218700969,4096.0,10000.0,1110.2710622710624
0.216827322,0.500403942,4096.0,10000.0,1111.2713064713066
-0.632578329,0.600694871,4096.0,10000.0,1112.2715506715508
-0.723602566,-0.267213457,4096.0,10000.0,1113.271794871795
-0.00549599726,-0.29239808,4096.0,10000.0,1114.2720390720392
-0.204287184,0.251961947,4096.0,10000.0,1115.2722832722834
-0.70238602,-0.221624366,4096.0,10000.0,1116.2725274725276
-0.0775006198,-0.758491268,4096.0,10000.0,1117.2727716727718
0.424143018,-0.121373767,4096.0,10000.0,1118.273015873016
-0.218079453,0.222353714,4096.0,10000.0,1119.2732600732602
-0.388992521,-0.488781842,4096.0,10000.0,1120.2735042735044
0.374419484,-0.557749277,4096.0,10000.0,1121.2737484737486
0.354087981,0.153272994,4096.0,10000.0,1122.2739926739928
-0.248532243,-0.0378417606,4096.0,10000.0,1123.274236874237
0.164312282,-0.590199655,4096.0,10000.0,1124.2744810744812
0.733456205,-0.0292685585,4096.0,10000.0,1125.2747252747254
0.145900455,0.513515214,4096.0,10000.0,1126.2749694749696
-0.2554327,-0.066053888,4096.0,10000.0,1127.2752136752138
0.372212167,-0.27245832,4096.0,10000.0,1128.275457875458
0.430202011,0.432433866,4096.0,10000.0,1129.2757020757022
-0.292535113,0.392877454,4096.0,10000.0,1130.2759462759464
